,Country or Area,ISO-alpha3 Code,M49 Code,Region 1,Region 2,Continent
210,Spain,ESP,724,Southern Europe,None,Europe
211,Sri Lanka,LKA,144,Southern Asia,None,Asia
212,State of Palestine,PSE,275,Western Asia,None,Asia
213,Sudan,SDN,729,Northern Africa,None,Africa
214,Suriname,SUR,740,South America,Latin America and the Caribbean,South America
215,Svalbard and Jan Mayen Islands,SJM,744,Northern Europe,None,Europe
216,Sweden,SWE,752,Northern Europe,None,Europe
217,Switzerland,CHE,756,Western Europe,None,Europe
218,Syrian Arab Republic,SYR,760,Western Asia,None,Asia
219,Tajikistan,TJK,762,Central Asia,None,Asia
220,Thailand,THA,764,South-eastern Asia,None,Asia
221,Timor-Leste,TLS,626,South-eastern Asia,None,Asia
222,Togo,TGO,768,Western Africa,Sub-Saharan Africa,Africa
223,Tokelau,TKL,772,Polynesia,None,Oceania
224,Tonga,TON,776,Polynesia,None,Oceania
225,Trinidad and Tobago,TTO,780,Caribbean,Latin America and the Caribbean,North America
226,Tunisia,TUN,788,Northern Africa,None,Africa
227,Turkey,TUR,792,Western Asia,None,Asia
228,Turkmenistan,TKM,795,Central Asia,None,Asia
229,Turks and Caicos Islands,TCA,796,Caribbean,Latin America and the Caribbean,North America
230,Tuvalu,TUV,798,Polynesia,None,Oceania
231,Uganda,UGA,800,Eastern Africa,Sub-Saharan Africa,Africa
232,Ukraine,UKR,804,Eastern Europe,None,Europe
233,United Arab Emirates,ARE,784,Western Asia,None,Asia
234,United Kingdom of Great Britain and Northern Ireland,GBR,826,Northern Europe,None,Europe
235,Tanzania,TZA,834,Eastern Africa,Sub-Saharan Africa,Africa
236,United States Minor Outlying Islands,UMI,581,Micronesia,None,Oceania
237,United States,USA,840,Northern America,None,North America
238,United States Virgin Islands,VIR,850,Caribbean,Latin America and the Caribbean,North America
239,Uruguay,URY,858,South America,Latin America and the Caribbean,South America
240,Uzbekistan,UZB,860,Central Asia,None,Asia
241,Vanuatu,VUT,548,Melanesia,None,Oceania
242,Venezuela,VEN,862,South America,Latin America and the Caribbean,South America
243,Vietnam,VNM,704,South-eastern Asia,None,Asia
244,Wallis and Futuna Islands,WLF,876,Polynesia,None,Oceania
245,Western Sahara,ESH,732,Northern Africa,None,Africa
246,Yemen,YEM,887,Western Asia,None,Asia
247,Zambia,ZMB,894,Eastern Africa,Sub-Saharan Africa,Africa
248,Zimbabwe,ZWE,716,Eastern Africa,Sub-Saharan Africa,Africa
